Country,Country2,VSL,iso3_heatdata,modified_data
ALB,Albania,462438.1224,ALB,FALSE
AND,Andorra,2507151.999,ESP,TRUE
ARM,Armenia,462072.7188,ARM,FALSE
AUT,Austria,3754968.775,AUT,FALSE
AZE,Azerbaijan,425482.9053,GEO,TRUE
BLR,Belarus,777190.8223,RUS,TRUE
BEL,Belgium,3565678.99,BEL,FALSE
BIH,Bosnia and Herzegovina,484882.206,BIH,FALSE
BGR,Bulgaria,707147.6628,BGR,FALSE
CAN,Canada,3635923.263,CAN,FALSE
HRV,Croatia,1182226.665,HRV,FALSE
CYP,Cyprus,2144644.458,CYP,FALSE
CZE,Czech Republic,1729432.216,CZE,FALSE
DNK,Denmark,4544942.434,DNK,FALSE
EST,Estonia,1499894.739,EST,FALSE
FIN,Finland,3619664.708,FIN,FALSE
FRA,France,3211845.8,FRA,FALSE
GEO,Georgia,425482.9053,GEO,FALSE
DEU,Germany,3529574.865,DEU,FALSE
GRC,Greece,1846202.428,GRC,FALSE
HUN,Hungary,1249118.198,HUN,FALSE
ISL,Iceland,4244458.891,ISL,FALSE
IRL,Ireland,5079099.714,IRL,FALSE
ISR,Israel,3107873.186,ISR,FALSE
ITA,Italy,2768073.162,ITA,FALSE
KAZ,Kazakhstan,702681.7064,KAZ,FALSE
KGZ,Kyrgyz Republic,143204.7376,KGZ,FALSE
LVA,Latvia,1296037.723,LVA,FALSE
LIE,Liechtenstein,6457011.048,CHE,TRUE
LTU,Lithuania,1344871.9,LTU,FALSE
LUX,Luxembourg,6951495.784,LUX,FALSE
MLT,Malta,2002733.25,MLT,FALSE
MCO,Monaco,3211845.8,MCO,TRUE
MNE,Montenegro,641635.9212,MNE,FALSE
NLD,Netherlands,3903657.992,NLD,FALSE
NOR,Norway,5289512.597,NOR,FALSE
POL,Poland,1207785.217,POL,FALSE
PRT,Portugal,1828524.37,PRT,FALSE
MDA,Moldova,218177.256,MDA,FALSE
ROU,Romania,762934.8116,ROU,FALSE
RUS,Russian Federation,777190.8223,RUS,FALSE
SMR,San Marino,2768073.162,ITA,TRUE
SRB,Serbia,586342.8311,SRB,FALSE
SVK,Slovak Republic,1713464.206,SVK,FALSE
SVN,Slovenia,1950075.342,SVN,FALSE
ESP,Spain,2507151.999,ESP,FALSE
SWE,Sweden,3990945.333,SWE,FALSE
CHE,Switzerland,6457011.048,CHE,FALSE
TJK,Tajikistan,143204.7376,KGZ,TRUE
MKD,"Macedonia, FYR",506039.2322,MKD,FALSE
TUR,Turkey,1151458.887,TUR,FALSE
TKM,Turkmenistan,425482.9053,GEO,TRUE
UKR,Ukraine,186899.384,UKR,FALSE
GBR,United Kingdom,4036471.525,GBR,FALSE
USA,United States,4623094.464,USA,FALSE
UZB,Uzbekistan,143204.7376,KGZ,TRUE
EU27,average EU27,2891447.277,EU27,FALSE
EU28,average EU28,2877351.063,EU28,FALSE
EUWHO,average WHO European Region,2132399.848,EUWHO,FALSE
